,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
100-01-6,1.4131742458191652,0.8882741448992361,1.519801365379423,5,-0.5249001009199291,0.10662711956025772,-0.6315272204801868,1.488402327184446,-0.07522808136528081
100-02-7,0.7096776592119038,0.501701526986893,0.8993290066254414,18,-0.20797613222501088,0.1896513474135375,-0.3976274796385484,0.8991121776709415,-0.1894345184590377
100-41-4,0.8771656907808165,0.6659626171015943,0.7934694322698905,14,-0.2112030736792222,-0.08369625851092599,-0.1275068151682962,0.847508747628575,0.029656943152241544
100-42-5,0.7645947572370987,0.7155528856819692,1.154306979200737,9,-0.04904187155512951,0.3897122219636383,-0.4387540935187678,1.1445520980475283,-0.37995734081042964
100-52-7,0.5853250265977069,0.4619323943970871,0.5404349404688596,7,-0.1233926322006198,-0.04489008612884726,-0.07850254607177254,0.5315040860215301,0.05382094057617681
10025-73-7,1.0786819715186007,0.5831438096245564,1.0647760053582171,8,-0.4955381618940443,-0.013905966160383532,-0.4816321957336608,0.9891449191078147,0.08953705241078602
10025-91-9,0.6834072138626051,0.47327859271838446,0.7033255613567443,5,-0.2101286211442206,0.019918347494139232,-0.23004696863835983,0.6496010091674957,0.03380620469510931
10043-01-3,0.8715323042947117,0.23779994558838152,0.8778581282362843,6,-0.6337323587063302,0.00632582394157255,-0.6400581826479028,0.8438585336040093,0.027673770690702426
10043-35-3,1.841449851143787,1.6940904139710273,2.10721367834862,7,-0.14735943717275957,0.26576382720483327,-0.41312326437759284,2.032967106459233,-0.19151725531544628
10043-52-4,2.9979638251655207,2.6084215200671585,2.888173240795441,11,-0.3895423050983622,-0.10979058437007971,-0.27975172072828247,2.7865497216621526,0.2114141035033681
10049-04-4,1.4554713473581051,1.310099803009509,2.1953249939076906,5,-0.14537154434859612,0.7398536465495855,-0.8852251908981816,2.210230504489476,-0.754759157131371
10099-74-8,-0.07014996998317802,0.16397324525314766,0.12642956077942974,36,0.23412321523632568,0.19657953076260776,0.03754368447371792,0.1362844311442017,-0.2064344011273797
101-05-3,-1.360536582190584,-0.9876094714789153,-0.8819404114558353,7,0.3729271107116686,0.4785961707347486,-0.10566906002307996,-1.0609201383707962,-0.2996164438197877
101-20-2,-2.070709962839731,-1.3499967827540604,-1.9545869298224035,6,0.7207131800856705,0.11612303301732751,0.604590147068343,-1.9680062890442085,-0.10270367379552248
101-27-9,-0.25347835322726653,-0.514214540005167,-0.20391052562115994,7,-0.26073618677790045,0.04956782760610659,-0.310304014384007,-0.23676368584415391,-0.016714667383112614
10102-18-8,-0.16964447320798393,0.18604441192334825,0.0035896289399331566,18,0.3556888851313322,0.17323410214791707,0.1824547829834151,0.008660649120027881,-0.1783051223280118
10108-64-2,-0.6808112940873242,-0.7125718065002402,-0.8293851087467639,135,-0.031760512412916,-0.14857381465943964,0.11681330224652364,-0.7050442233659068,0.02423292927858256
10124-36-4,-0.9398592176798003,-0.6474023070421919,-0.8780539466405015,21,0.29245691063760837,0.06180527103929878,0.2306516395983096,-0.9394883664638837,-0.0003708512159166233
1014-70-6,1.0064334090560658,-0.19458445926834284,1.0334482732612655,6,-1.2010178683244086,0.027014864205199718,-1.2280327325296083,0.9542425094393248,0.05219089961674106
10265-92-6,-3.0723772270529066,-1.1773885457623172,-3.362588746758928,7,1.8949886812905894,-0.29021151970602155,2.185200200996611,-3.3039674413478264,0.23159021429491977
1031-07-8,-2.0644510248418264,-2.1086348697942396,-1.9284780965495465,7,-0.04418384495241323,0.13597292829227992,-0.18015677324469315,-2.059637310505756,-0.004813714336070252
