CAS,chemical_name,n_species_observed,n_species_predicted,hc5_traditional,hc5_trad_mu,hc5_trad_sigma,hc5_mc_median,hc5_mc_lower_95,hc5_mc_upper_95,hc5_mc_ci_width
109-89-7,Diethylamine,2,1267,,,,-0.33701106033556943,-0.5020980270125136,-0.175600236726682,0.3264977902858316
647-42-7,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-1-ol",1,1267,,,,-4.209045597644934,-4.500105030099897,-3.9074943849030834,0.5926106451968138
7553-56-2,Iodine,1,1267,,,,-2.032879514792073,-2.1725630382280112,-1.8983268634465535,0.2742361747814577
693-54-9,2-Decanone,1,1267,,,,-1.782954816989135,-1.940841662824682,-1.6242978861504476,0.3165437766742345
447-53-0,"1,2-Dihydronaphthalene",1,1267,,,,-2.309273383469759,-2.53573718214433,-2.0923623982117476,0.44337478393258234
18240-68-1,"2,2-dichloropentanoic Acid",1,1267,,,,-2.624622108235939,-2.881775501703874,-2.371321807972242,0.5104536937316322
96-24-2,"3-Chloro-1,2-propanediol",1,1267,,,,-1.250133613774583,-1.445173804372477,-1.039508776816092,0.4056650275563851
15307-86-5,Diclofenac,4,1267,,,,-1.6535529978103474,-1.8319831090204548,-1.4836205185311557,0.3483625904892991
18181-70-9,Iodenphos,2,1267,,,,-3.154199112645582,-3.3249658836751164,-3.001580449842163,0.32338543383295315
5598-13-0,Chlorpyrifos-methyl,8,1267,-4.820481788016554,-1.831956073967582,1.8168946252000702,-3.501369954146879,-3.650442117570174,-3.3653597487539506,0.2850823688162234
189-55-9,"Dibenzo[a,i]pyrene",1,1267,,,,-4.141129355708584,-4.357833039994343,-3.9314459855410786,0.42638705445326464
2274-99-9,"Phosphorothioic acid, S,S'-benzylidene O,O,O',O'-tetramethyl ester",3,1267,,,,-2.9245401245810543,-3.082962749092572,-2.7812957999245094,0.3016669491680628
17109-36-3,"3-tert-Butyl-2',5-dichloro-4'-nitro-2,6-cresotanilide",3,1267,,,,-3.7269175804655963,-3.844658672086193,-3.619500443191032,0.22515822889516102
100986-85-4,Levofloxacin,2,1267,,,,-1.6020959014291796,-1.7632469213512634,-1.438678201940465,0.32456871941079846
1763-23-1,PFOS,2,1267,,,,-1.847384442084198,-2.0356511615762654,-1.6877401234989304,0.3479110380773349
84-11-7,"9,10-Phenanthrenedione",1,1267,,,,-2.163882675360888,-2.326359372715027,-2.0091023916637587,0.3172569810512682
31557-34-3,"2-Methoxy-3,5,6-trichloropyridine",6,1267,-0.0058930650726363165,0.3801223715321958,0.234680721907312,-1.6530393564800283,-1.779545911822282,-1.5200717009849118,0.2594742108373702
115104-28-4,MK-571,1,1267,,,,-3.283893705624477,-3.5094056951958517,-3.0637904061900927,0.445615289005759
124-40-3,Dimethylamine,2,1267,,,,-0.5173553181178309,-0.6934876334507367,-0.33072386828579003,0.3627637651649467
107534-96-3,Tebuconazole,2,1267,,,,-1.414017159116117,-1.5488124931986234,-1.2873248058274882,0.26148768737113515
306-52-5,Triclofos,1,1267,,,,-2.1381207359574224,-2.342519641492675,-1.949828633774221,0.3926910077184542
110-16-7,Maleic acid,1,1267,,,,-1.5747516708644673,-1.7658309701523145,-1.3741511937244668,0.3916797764278477
7783-00-8,Selenious acid,2,1267,,,,-1.160405464643822,-1.2797892831787112,-1.0341514508901546,0.24563783228855662
1332-65-6,Copper oxychloride,1,1267,,,,-1.0048791076298438,-1.1467024756018283,-0.8649251243507917,0.28177735125103653
53-70-3,"Dibenz(a,h)anthracene",1,1267,,,,-4.254333070091116,-4.496084833138858,-4.025979679604739,0.47010515353411897
13356-08-6,Fenbutatin oxide,1,1267,,,,-5.619265806348428,-5.851485190568239,-5.399986066189611,0.4514991243786275
789-02-6,"o,p'-DDT",1,1267,,,,-3.6798785482715606,-3.8816806974864813,-3.4986873068697424,0.38299339061673887
1634-78-2,Malaoxon,2,1267,,,,-3.2814057744714784,-3.4646021280123542,-3.102177761837663,0.3624243661746913
1420-06-0,Trifenmorph,5,1267,-1.4635943702006013,-0.8016776044540022,0.40241681989258693,-2.5308204276432087,-2.6608285698477467,-2.391468208887543,0.26936036096020377
1192-89-8,"Mercury, bromophenyl-",5,1267,-0.5526560440632362,0.3989831229256023,0.5785555330856891,-2.21903179168761,-2.3912312668578957,-2.052522447405813,0.33870881945208264
5221-49-8,Pyrimitate,1,1267,,,,-2.543125580949468,-2.7399519787600615,-2.3534767134236843,0.3864752653363772
2437-79-8,"2,2',4,4'-Tetrachlorobiphenyl",1,1267,,,,-3.3237653063991517,-3.490431764261071,-3.1516159971566324,0.3388157671044385
50-44-2,6-Mercaptopurine,1,1267,,,,-2.061039297494461,-2.2853723018576653,-1.8604759834804458,0.4248963183772194
1085-98-9,Dichlofluanid,3,1267,,,,-2.557122752458695,-2.715278663424824,-2.408639501734966,0.30663916168985805
7447-39-4,Copper(II) chloride,48,1267,-2.451541877348933,-0.5918351548006898,1.1306214073254488,-2.5699575900596545,-2.7056168382799424,-2.4381982837223015,0.26741855455764085
104-40-5,4-Nonylphenol,23,1267,-1.5871900395666692,-0.8940281578402471,0.42141250161639576,-2.3511501141171203,-2.470050490037418,-2.2390433152956493,0.23100717474176857
6923-22-4,Monocrotophos,13,1267,-0.5125780388148787,0.8865452277444444,0.8506065485914515,-2.196734895220371,-2.354965263382686,-2.0278066521202174,0.3271586112624685
33719-74-3,"3,5-Dichloroanisole",1,1267,,,,-1.994166079177584,-2.178502477519334,-1.821349916256762,0.3571525612625719
79-43-6,Dichloroacetic acid,1,1267,,,,-0.7004201540445935,-0.8547157037282063,-0.5372615313322736,0.31745417239593265
151-21-3,Sodium dodecyl sulfate,41,1267,-0.009330153664897423,0.7858855975490524,0.48345684879437034,-1.0140613254322242,-1.1438469260082444,-0.8927215361785139,0.25112538982973054
