CAS,chemical_name,n_species_observed,n_species_predicted,trad_mu,trad_sigma,hc5_traditional,hc5_mc_median,hc5_mc_lower,hc5_mc_upper,hc5_mc_ci_width,hc20_traditional,hc20_mc_median,hc20_mc_lower,hc20_mc_upper,hc20_mc_ci_width,hc50_traditional,hc50_mc_median,hc50_mc_lower,hc50_mc_upper,hc50_mc_ci_width,hc80_traditional,hc80_mc_median,hc80_mc_lower,hc80_mc_upper,hc80_mc_ci_width,hc95_traditional,hc95_mc_median,hc95_mc_lower,hc95_mc_upper,hc95_mc_ci_width
96-23-1,"1,3-Dichloro-2-propanol",1,1267,,,,-0.9069806561582949,-1.081802347896574,-0.7296559295896413,0.3521464183069326,,0.3650815152470769,0.2513013289250071,0.48221723284747786,0.23091590392247074,,1.6582212098805393,1.5626997966682203,1.7648801332480506,0.20218033657983026,,2.944418215067312,2.8261248566451393,3.0591729156903344,0.2330480590451951,,4.174501187795425,3.9986628301680898,4.363945751778619,0.36528292161052933
243973-20-8,Pinoxaden,1,1267,,,,-1.7173856147196944,-1.8869641350301465,-1.5695185775097198,0.3174455575204267,,-0.6039943850141565,-0.7031988906681585,-0.5035725368001485,0.1996263538680101,,0.48637563785343785,0.4052209459143155,0.567561047249399,0.16234010133508353,,1.5450436502226035,1.4510771522503618,1.635479654103953,0.18440250185359108,,2.58219918390707,2.4302573365216253,2.730116176882314,0.29985884036068855
138-93-2,Disodium cyanodithioimidocarbonate,1,1267,,,,-1.3830724466896358,-1.5530382543073478,-1.2206660785456156,0.33237217576173217,,-0.15864409867937,-0.2692018140427432,-0.044566642917168275,0.2246351711255749,,1.0784780830417187,0.9874687734942581,1.17259760229159,0.18512882879733195,,2.2811617947803136,2.1745770159679325,2.3829777829620697,0.20840076699413723,,3.4005707516562786,3.2408639218460715,3.5681197305258983,0.32725580867982673
104206-82-8,Mesotrione,1,1267,,,,-1.3269445977802627,-1.515119297399816,-1.1416195296906086,0.37349976770920734,,-0.02572295147704251,-0.13914576840329326,0.08514490325925705,0.22429067166255032,,1.2797625090538154,1.1719562490876045,1.3748336708036746,0.20287742171607004,,2.5496628079857606,2.440071275932467,2.6623529475100995,0.22228167157763234,,3.7590048056488756,3.582873261628204,3.924479170286151,0.3416059086579466
542-76-7,3-Chloropropionitrile,1,1267,,,,-1.6660268849927093,-1.8913926452246117,-1.4359639191919404,0.45542872603267126,,-0.0836052615987457,-0.23712160033553592,0.07397345827399608,0.311095058609532,,1.551106687642514,1.421377550515635,1.6882215474959361,0.26684399698030115,,3.185369638290848,3.0227171015842993,3.332821131221656,0.3101040296373565,,4.746277965063215,4.5205538551513635,4.978351009133314,0.4577971539819501
62-13-5,Adrenone hydrochloride,1,1267,,,,-2.7334822406381596,-2.9692968321720086,-2.5047980283465936,0.464498803825415,,-1.099893095490081,-1.2596266984809041,-0.9431242040066139,0.31650249447429024,,0.5875280553512043,0.4437880135168266,0.7295762400625819,0.2857882265457553,,2.2749910887162024,2.1139951753927297,2.419640264907537,0.3056450895148073,,3.870812144780965,3.624192717314603,4.117173541597638,0.4929808242830349
7722-88-5,Tetrasodium pyrophosphate,3,1267,,,,-1.1604879788797104,-1.384557032371845,-0.9414131492321862,0.4431438831396588,,0.4576644086124997,0.3246631123385714,0.6084584343636433,0.2837953220250719,,1.9986608917448971,1.8998145363249286,2.10513839068638,0.20532385436145129,,3.406646245195831,3.284522359596168,3.512923740623309,0.22840138102714125,,4.735266089638159,4.546211366293379,4.921197326186031,0.37498595989265215
124-40-3,Dimethylamine,2,1267,,,,-0.5297842758873281,-0.7100433281170292,-0.34617974134397894,0.36386358677305025,,0.7226010806660652,0.6113691476842494,0.8330428809898374,0.22167373330558793,,1.937469079364009,1.8520794679423254,2.02555082378631,0.17347135584398443,,3.1250290536594987,3.0136013954257606,3.233697144691834,0.22009574926607334,,4.306989541029888,4.137115772327724,4.471637757356729,0.33452198502900465
10045-89-3,Ferrous ammonium sulfate,1,1267,,,,-1.3368677093702135,-1.5007919416082505,-1.1630483223998487,0.3377436192084018,,-0.1595164505596296,-0.26220002882446525,-0.06308897247890913,0.19911105634555612,,1.0035667338229963,0.9186809232834268,1.0916766185353923,0.17299569525196556,,2.1275056174754106,2.0315630717725406,2.2216071591516857,0.19004408737914513,,3.1896780430185006,3.0385310639306673,3.340807148218626,0.3022760842879588
10222-01-2,"2,2-Dibromo-3-nitrilopropionamide",2,1267,,,,-1.778006038306855,-1.918962062137753,-1.6414536601931402,0.2775084019446128,,-0.8067658401060873,-0.8896932046985713,-0.7210815464236613,0.16861165827490998,,0.14668723058117422,0.07994043158503557,0.21658997842687805,0.1366495468418425,,1.0690203302508479,0.9879307541975656,1.1500393122194201,0.16210855802185453,,1.9668759381306384,1.8413200588047804,2.1040550919392795,0.2627350331344991
